название,имя_художника,стоимость,примерная_оценка,материал,размер,страна,период,стиль,жанр
Homme debout ; Étude de tête d’homme barbu et d’un chat (verso),LUDOVICO CARRACCI,,"EUR 7,000 - 10,000",N/A,"37 x 19,3 cm",Italy,1555-1619,Realism,Portrait
David jouant de la harpe pour Saül,JACOPO PALMA IL GIOVANE,,"EUR 4,000 - 6,000",N/A,"30,2 x 21,2 cm",Italy,1544-1628,Realism,Figurative Drawing
Saint Antoine et l'Enfant Jésus entourés de putti,GIOVANNI DOMENICO TIEPOLO,,"EUR 4,000 - 6,000",N/A,25.4 x 18 cm,Italy,1727-1804,Realism,Figurative Drawing
"Femme assise le bras tendu, regardant vers la gauche",JACOB ADRIAENSZ. BACKER,,"EUR 10,000 - 15,000",N/A,"23,8 x 19 cm",Netherlands,1608-1653,Realism,Portrait
Suite complète de huit études de léopards,MARCUS DE BYE,,"EUR 15,000 - 20,000",N/A,"15 x 18,7 cm",Netherlands,1639-1688,Realism,Animal Art
Paysage rocheux à la cascade avec deux pêcheurs,JAN WORST,"EUR 3,024","EUR 1,000 - 1,500",N/A,"21,9 x 19,4 cm",Unknown,1655-1686,Realism,Landscape
Tête d'homme au chapeau,JEAN DE SAINT-IGNY,"EUR 3,780","EUR 3,000 - 5,000",N/A,"22,3 x 16,7 cm",France,1595-1649,Realism,Portrait
Androclès et le lion,MICHEL CORNEILLE II,"EUR 6,300","EUR 3,000 - 5,000",N/A,"26,9 x 15,3 cm",France,1642-1708,Realism,Figurative Drawing
Étude pour le dieu fleuve,LOUIS DE BOULLOGNE LE JEUNE,"EUR 4,032","EUR 6,000 - 8,000",N/A,"38,4 x 49,7 cm",France,1654-1733,Realism,Figurative Drawing
Étude de draperie,CHARLES LE BRUN,,"EUR 6,000 - 8,000",N/A,"36 x 21,2 cm",France,1610-1690,Realism,Figurative Drawing
Scène bachique ,RAYMOND LAFAGE,"EUR 2,520","EUR 2,000 - 3,000",N/A,"34,2 x 50,2 cm",France,1656-1684,Realism,Figurative Drawing
Athénienne entourée de deux figures féminines surmontées d’une couronne (recto); Esquisse d'une figure féminine (verso),CHARLES LE BRUN,,"EUR 6,000 - 8,000",N/A,"25,1 x 41,6 cm",France,1619-1690,Realism,Unknown
Saint Jean-Baptiste reprochant à Hérode sa vie scandaleuse (recto); Etude d'homme en buste et autres figures (verso),ANTOINE DIEU,,"EUR 4,000 - 6,000",N/A,"21,7 x 26,6 cm",France,1662-1727,Realism,Unknown
"Académie d'homme nu assis, les mains derrière le dos",ÉCOLE FRANÇAISE DU DÉBUT DU XVIIIE SIÈCLE,,"EUR 5,000 - 7,000",N/A,"54,5 x 41 cm",Unknown,N/A,Realism,Figurative Drawing
Tête de femme en buste,FRANÇOIS BOUCHER,"EUR 6,300","EUR 5,000 - 7,000",N/A,"26,3 x 17,9 cm",France,1703-1770,Realism,Portrait
L'Enfant chéri,JEAN-BAPTISTE LEPRINCE,,"EUR 4,000 - 6,000",N/A,"24 x 21,7 cm",France,1734-1781,Realism,Unknown
Portrait présumé de Marie-Rosalie Vanloo,CHARLES-ANDRÉ VAN LOO DIT CARLE VAN LOO,"EUR 2,520","EUR 2,000 - 3,000",N/A,"35,3 x 26,5 cm",France,1705-1765,Realism,Portrait
Vierge entourée d'anges ailés,GABRIEL-FRANÇOIS DOYEN,"EUR 3,780","EUR 3,000 - 5,000",N/A,"45,5 x 30,1 cm",France,1726-1806,Realism,Figurative Drawing
"La sépulture de saint André, d'après Matia Preti",JEAN-HONORÉ FRAGONARD,,"EUR 15,000 - 20,000",N/A,"36,7 x 28,8 cm",France,1732-1806,Realism,Figurative Drawing
"Maria-Cristina de Bourbon-Siciles (1806-1878), reine et régente d'Espagne en robe blanche",NICOLAS-FRANÇOIS DUN,"EUR 20,160","EUR 10,000 - 15,000",gouache,"15,7 x 11,5 cm",France,1764-1832,Realism,Portrait
Académie d'homme assis,CHARLES-ANDRÉ VAN LOO DIT CARLE VAN LOO,,"EUR 3,000 - 5,000",N/A,"52,5 x 38,4 cm",France,1705-1765,Realism,Figurative Drawing
"Baigneuses et lavandières au bord d'une rivière, une ville à l'arrière-plan",SUIVEUR DE CHARLES-FRANÇOIS GRENIER LACROIX DE MARSEILLE,EUR 882,"EUR 1,500 - 2,000",gouache,"17,3 x 22,4 cm",Unknown,1700-1782,Realism,Landscape
Femme nue aux deux colombes et Cupidon; et Femme nue de dos avec putto ailé,ENTOURAGE DE FRANÇOIS BOUCHER,"EUR 1,260","EUR 4,000 - 6,000",N/A,33 x 53 cm,France,1703-1770,Realism,Unknown
Campement militaire dans le Piémont à la 'Rocca du Verrua Savoia' ,ÉCOLE ITALIENNE DE LA FIN DU XVIIIE SIÈCLE,EUR 882,"EUR 1,500 - 2,000",gouache,32 x 43 cm,Unknown,N/A,Realism,Landscape
Calligraphie avec amour tirant à l'arc sur un sanglier,ÉCOLE FRANÇAISE DE LA FIN DU XVIIIE SIÈCLE,"EUR 1,638","EUR 1,000 - 1,500",N/A,"10,5 x 27 cm",Unknown,N/A,Realism,Unknown
"Portrait présumé d'Elizabeth Ford, née Lawson",JOHN JAMES MASQUERIER,"EUR 4,410","EUR 4,000 - 6,000",N/A,78 x 64 cm,United Kingdom,1778-1855,Realism,Portrait
Portrait présumé de Jane Macintyre,JOHN JAMES MASQUERIER,,"EUR 4,000 - 6,000",N/A,"75,5 x 61 cm",United Kingdom,1778-1855,Realism,Portrait
Visite du président français Emile Loubet au roi et à la reine d’Italie à Rome en 1904,PIERRE GUSMAN,"EUR 4,410","EUR 1,500 - 2,000",N/A,53 x 72 cm,France,1862-1942,Realism,Unknown
Destruction de la ‘Torre del Greco’ lors de l'éruption du Vésuve en 1794 ,ÉCOLE NAPOLITAINE DU XIXE SIÈCLE,"EUR 4,410","EUR 1,500 - 2,000",gouache,49 x 71 cm,Unknown,N/A,Realism,Landscape
Femme nue allongée sur un lit,LEV TCHISTOVSKY,"EUR 10,710","EUR 5,000 - 7,000",N/A,49 x 72 cm,Russia,1902-1969,Realism,Unknown
Un crâne sur un entablement,ÉCOLE HOLLANDAISE DU XVIIE SIÈCLE,"EUR 23,940","EUR 15,000 - 25,000",N/A,"19 x 16,5 cm",Unknown,N/A,Realism,Still Life
"Portrait d'Élisabeth Ière (1533-1604), reine d'Angleterre et d'Irlande, de trois-quarts","ÉCOLE ANGLAISE DU XVIE SIÈCLE, SUIVEUR DE GEORGE GOWER","EUR 176,400","EUR 20,000 - 30,000",N/A,86 x 67 cm,Unknown,N/A,Realism,Portrait
L'Annonciation,"ÉCOLE FLAMANDE DU XVIIE SIÈCLE, ENTOURAGE DE MAERTEN DE VOS","EUR 12,600","EUR 12,000 - 18,000",N/A,54 x 75 cm,Unknown,N/A,Realism,Unknown
"Portrait du peintre Jan Dirksz. Both (1618-1652), en buste",ABRAHAM WILLAERTS,"EUR 9,450","EUR 6,000 - 8,000",N/A,"14 x 10,3 cm",Netherlands,UTRECHT 1603-1669,Realism,Portrait
Silhouette d'enfant tenant un kliek de kolf,ÉCOLE HOLLANDAISE DU XVIIE SIÈCLE,"EUR 11,970","EUR 10,000 - 15,000",N/A,"54,7 x 10,3 cm",Unknown,N/A,Realism,Unknown
Le Mont Parnasse ,ATTRIBUÉ À ÉRASME QUELLIN LE JEUNE,"EUR 5,040","EUR 8,000 - 12,000",N/A,73 x 98 cm,Belgium,1607-1678,Realism,Landscape
Vue d'un village flamand,"ÉCOLE FLAMANDE DU XVIIE SIÈCLE, ATELIER DE JOOS DE MOMPER LE JEUNE","EUR 30,240","EUR 20,000 - 30,000",N/A,"54,5 x 82 cm",Unknown,N/A,Realism,Landscape
Un joueur de flûte jouant du tambour avec une jeune et une vieille femme,CORNELIS CORNELISZ. VAN HAARLEM,,"EUR 10,000 - 15,000",N/A,"35 x 26,3 cm",Netherlands,1562-1638,Realism,Unknown
Le Paradis terrestre,"ÉCOLE FLAMANDE DU XVIIE SIÈCLE, ATELIER DE JAN BRUEGHEL LE JEUNE","EUR 56,700","EUR 8,000 - 12,000",N/A,"35,5 x 50 cm",Unknown,N/A,Realism,Landscape
Deux lapins mangeant des feuilles de laitue,"ÉCOLE ITALIENNE DE LA SECONDE MOITIÉ DU XVIIE SIÈCLE, ENTOURAGE DE GIOVANNI AGOSTINO CASSANA","EUR 23,940","EUR 5,000 - 7,000",N/A,"32 x 42,5 cm",Unknown,N/A,Realism,Animal Art
Paysage fluvial,"ÉCOLE FLAMANDE DU XVIIE SIÈCLE, ENTOURAGE DE JAN BRUEGHEL LE JEUNE","EUR 16,380","EUR 4,000 - 6,000",N/A,"18,5 x 24,5 cm",Unknown,N/A,Realism,Landscape
Vue d'un paysage montagneux avec deux chèvres sur un col,JOOS DE MOMPER LE JEUNE,"EUR 8,190","EUR 12,000 - 18,000",N/A,"43 x 66,5 cm",Belgium,1564-1635,Realism,Landscape
"Portrait d'un homme âgé de 40 ans, de trois-quarts",NICOLAES ELIASZ. PICKENOY,"EUR 63,000","EUR 25,000 - 35,000",N/A,"64,8 x 50,6 cm",Netherlands,1588-1656,Realism,Portrait
"Portrait d'une femme âgée de 70 ans, de trois-quarts","ÉCOLE HOLLANDAISE, 1631, ENTOURAGE DE NICOLAES ELIASZ. PICKENOY",,"EUR 10,000 - 12,000",N/A,"65 x 49,4 cm",Unknown,N/A,Realism,Portrait
Saint François d'Assise,ÉCOLE ESPAGNOLE DU XVIIE SIÈCLE,EUR 378,"EUR 1,000 - 1,500",N/A,"72,5 x 59 cm",Unknown,N/A,Realism,Unknown
La Crucifixion,"ÉCOLE FLAMANDE DU XVIIE SIÈCLE, ENTOURAGE DE PIERRE PAUL RUBENS","EUR 1,638","EUR 3,000 - 4,000",N/A,"39,9 x 27,6 cm",Unknown,N/A,Realism,Unknown
Une carmélite se voyant offrit la communion par un saint,"ÉCOLE ESPAGNOLE DU XVIIE SIÈCLE, ZURBANO***","EUR 1,008","EUR 2,000 - 3,000",N/A,"64 x 53,5 cm",Unknown,N/A,Realism,Unknown
La Crucifixion (recto) et l'Agonie au jardin des Oliviers (verso) ; Le Portement de croix (recto) et les apôtres endormis en jardin de Gethsémani (verso),ÉCOLE FLAMANDE DE LA FIN DU XVIE SIÈCLE,,"EUR 10,000 - 15,000",N/A,"74,5 x 43 cm",Unknown,N/A,Realism,Unknown
L'amiral Maarten Harpertsz. Tromp (1598-1653) devant la flotte néerlandaise,ÉCOLE HOLLANDAISE DU XVIIE SIÈCLE,"EUR 11,970","EUR 7,000 - 10,000",N/A,"58,8 x 92 cm",Unknown,N/A,Realism,Unknown
"Bataille navale lors de la Guerre néerlando-portugaise, peut-être la bataille de Goa",JACOBUS STORCK,,"EUR 12,000 - 18,000",N/A,"83 x 124,3 cm",Netherlands,1641-1692,Realism,Landscape
Scène de marine,JULIUS PORCELLIS,"EUR 8,820","EUR 8,000 - 12,000",N/A,"51 x 66,6 cm",Netherlands,ROTTERDAM 1610-1645 LEYDE,Realism,Landscape
Vénus au miroir,"D'APRÈS TIZIANO VECELLIO, DIT TITIEN","EUR 1,890","EUR 4,000 - 6,000",N/A,133 x 109 cm,Italy,N/A,Realism,Unknown
"Portrait d'un cardinal, traditionnellement identifié comme Hippolyte de Médicis (1511-1535) ou Hippolyte d'Este (1509-1572), à mi-corps",ATTRIBUÉ À JACOPINO DEL CONTE,"EUR 23,940","EUR 12,000 - 18,000",N/A,"82,3 x 69,3 cm",Italy,1510-1598,Realism,Portrait
Le Passage de la Mer rouge,"ÉCOLE ITALIENNE, 1521, ENTOURAGE DE JAN VAN SCOREL",,"EUR 25,000 - 35,000",N/A,"101 x 197,5 cm",Unknown,N/A,Realism,Landscape
L'Adoration des bergers ; L'Adoration des mages ; La Circoncision,"ÉCOLE FLAMANDE DU XVIE SIÈCLE, ENTOURAGE DE PIETER COECKE VAN AELST",,"EUR 40,000 - 60,000",N/A,"104,5 x 72 cm",Unknown,N/A,Realism,Unknown
Couple de donateurs en prière,"ÉCOLE FLAMANDE DU XVIE SIÈCLE, ENTOURAGE DE PIETER CLAEISSENS L'ANCIEN",,"EUR 18,000 - 25,000",N/A,"106,5 x 29 cm",Unknown,N/A,Realism,Unknown
Escarmouche dans un paysage boisé,DANS LE GOÛT DE L'ÉCOLE DE FRANKENTHAL,EUR 756,"EUR 1,000 - 2,000",N/A,102 x 85 cm,Germany,N/A,Realism,Landscape
La Vision de saint Hubert,"ECOLE ANVERSOISE DU XVIIE SIECLE, ATELIER DE JAN BRUEGHEL LE JEUNE","EUR 47,880","EUR 12,000 - 18,000",N/A,"66,5 x 93 cm",Unknown,N/A,Realism,Animal Art
Intérieur d'une maison de maître avec une table,MONOGRAMMISTE PW,"EUR 30,240","EUR 10,000 - 15,000",N/A,"38,5 x 64 cm",Unknown,,Realism,Architectural Drawing
"Nature morte à la cruche en étain, au nautile renversé, au roemer et à la tourte au cassis disposée sur un plat en étain sur une table partiellement drapée","ÉCOLE HOLLANDAISE DU XVIIE SIÈCLE, ENTOURAGE DE WILLEM CLAESZ. HEDA",,"EUR 20,000 - 30,000",N/A,"67,5 x 83 cm",Unknown,N/A,Realism,Still Life
"Nature morte au vase de fleurs, aux fruits, au lézard, aux papillons et autres insectes sur un entablement en pierre",ANTHONY CLAESZ. LE JEUNE,"EUR 44,100","EUR 40,000 - 60,000",N/A,"104,5 x 76 cm",Netherlands,1607-1649,Realism,Still Life
"Nature morte au panier en osier sur lequel repose un plat Kraak avec un homard, et aux citrons, raisins, pêches et autres fruits sur un entablement partiellement drapé",GILLIAM DANDOY,,"EUR 12,000 - 18,000",N/A,"50 x 65,3 cm",Belgium,1640-1652,Realism,Still Life
Le Satyre et le paysan,"ÉCOLE HOLLANDAISE DE LA PREMIÈRE MOITIÉ DU XVIIE SIÈCLE, ATELIER DE MATTHIAS STOM","EUR 56,700","EUR 12,000 - 18,000",N/A,"68,5 x 85,5 cm",Unknown,N/A,Realism,Unknown
Ulysse menaçant Circé,"ÉCOLE FLAMANDE DU XVIIE SIÈCLE, ENTOURAGE DE JAN BRUEGHEL LE JEUNE","EUR 32,760","EUR 6,000 - 8,000",N/A,"49,7 x 72 cm",Unknown,N/A,Realism,Unknown
"Papillons dans un paysage, un village à l'arrière-plan",JAN VAN KESSEL L'ANCIEN,"EUR 119,700","EUR 12,000 - 18,000",N/A,"17,5 x 23,8 cm",Belgium,1626-1679,Realism,Unknown
"Portrait d'un officier supérieur, chevalier de l'ordre de Saint-Louis, de trois-quarts",ROBERT LE VRAC DE TOURNIÈRES,"EUR 44,100","EUR 20,000 - 30,000",N/A,"116 x 90,5 cm",France,1667-1752,Realism,Portrait
"Portrait familial de Louis de Fautereau (1621-1691), marquis de Mesnières, maréchal des camps et armées du Roi, de Catherine de Fautereau née de Manneville (décédée en 1685), dame d'honneur d'Anne d'Autriche (1601-1666), et de leurs enfants Henri Alexandre et Louise Catherine Angélique (1650-1701) de Fautereau","ÉCOLE FRANÇAISE DU XVIIE SIÈCLE, ENTOURAGE DE PIERRE MIGNARD",,"EUR 20,000 - 30,000",N/A,126 x 147 cm,Unknown,N/A,Realism,Portrait
"Portrait de Charles-Louis-Auguste Fouquet (1684-1761), maréchal-duc de Belle-Isle, de trois-quarts, devant la citadelle de Metz","ÉCOLE FRANÇAISE DU XVIIIE SIÈCLE, SUIVEUR DE HYACINTHE RIGAUD","EUR 7,560","EUR 6,000 - 8,000",N/A,N/A,Unknown,N/A,Realism,Portrait
Un peintre devant le portrait d'une femme,ÉCOLE D'EUROPE DE L'EST DU XVIIIE SIÈCLE,,"EUR 20,000 - 30,000",N/A,132 x 98 cm,Unknown,N/A,Realism,Portrait
Saint Jean Baptiste enfant,ÉCOLE D'ITALIE DU NORD DU XVIIIE SIÈCLE,EUR 756,"EUR 1,000 - 1,500",N/A,"77,5 x 55,5 cm",Unknown,N/A,Realism,Unknown
La Sainte Famille,"ÉCOLE NAPOLITAINE DU XVIIIE SIÈCLE, ENTOURAGE DE FRANCESCO DE MURA",,"EUR 8,000 - 12,000",N/A,101 x 80 cm,Unknown,N/A,Realism,Unknown
Moines et pêcheurs dans un paysage,"ÉCOLE ITALIENNE DU XVIIIE SIÈCLE, ENTOURAGE D'ALESSANDRO MAGNASCO",,"EUR 15,000 - 25,000",N/A,"114 x 174,5 cm",Unknown,N/A,Realism,Landscape
Scène de port avec des voiliers,RINSE VERZIJL,"EUR 30,240","EUR 2,500 - 3,500",N/A,"62,5 x 80 cm",Netherlands,1690-1736,Realism,Landscape
La Leçon d'amour,DANS LE GOÛT DE JEAN-ANTOINE WATTEAU,"EUR 5,040","EUR 2,000 - 3,000",N/A,"33,4 x 41,5 cm",France,N/A,Realism,Unknown
"Portrait présumé de Jean Philippe d'Orléans (1702-1748), Grand Prieur de France, en armure, à mi-corps, un navire dans la tempête à l'arrière-plan","ÉCOLE FRANÇAISE DU XVIIIE SIÈCLE, ATELIER DE JEAN-MARC NATTIER","EUR 15,120","EUR 20,000 - 30,000",N/A,82 x 65 cm,Unknown,N/A,Realism,Portrait
Le Souvenir,"ÉCOLE FRANÇAISE DU XIXE SIÈCLE, SUIVEUR DE JEAN-HONORÉ FRAGONARD","EUR 9,450","EUR 1,500 - 2,000",N/A,"44,2 x 35,5 cm",Unknown,N/A,Realism,Unknown
Esquisse d'une tête d'homme,GASPARE TRAVERSI,"EUR 7,560","EUR 8,000 - 12,000",N/A,"34,5 x 23 cm",Italy,1722-1770,Realism,Unknown
Vue d'une grotte avec une mère et son enfant,HUBERT ROBERT,"EUR 32,760","EUR 20,000 - 30,000",N/A,"81,5 x 98,7 cm",France,1733-1808,Realism,Landscape
Paysage à la cascade animé de pêcheurs et de promeneurs,PIERRE JOSEPH WALLAERT,"EUR 6,300","EUR 6,000 - 8,000",N/A,"65,5 x 84,5 cm",France,1753-1812,Realism,Landscape
"Madame Élisabeth (1764-1794), soeur du roi Louis XVI (1754-1793), dans sa ferme à Versailles",ATTRIBUÉ À CHARLES LEPEINTRE,"EUR 15,120","EUR 4,000 - 6,000",N/A,"55,5 x 46 cm",France,1735-1803,Realism,Unknown
Les adieux de l'une des filles de Marie-Caroline d'Autriche (1742-1814) à Naples,ÉCOLE NAPOLITAINE DU XVIIIE SIÈCLE,"EUR 11,340","EUR 12,000 - 18,000",N/A,"45,5 x 79 cm",Unknown,N/A,Realism,Unknown
Scène d'incendie près d'un rivage méditerranéen,"ÉCOLE ANGLAISE DE LA FIN DU XVIIIE SIÈCLE, ENTOURAGE DE JOSEPH WRIGHT OF DERBY","EUR 10,080","EUR 8,000 - 12,000",N/A,"46,3 x 61,4 cm",Unknown,N/A,Realism,Unknown
"Portrait de Maurice de Savoie (1762-1799), duc de Montferrat, en buste ; Portrait de Marie-Félicitée de Savoie (1730-1801), en buste ; Portrait de Joseph Benoît de Savoie (1766-1802), comte de Maurienne, en buste ; Portrait de Marie-Anne de Savoie (1757-1824), duchesse de Chablais, en buste ; Portrait de Victor-Emmanuel de Savoie (1759-1824), duc d'Aoste, en buste ; Portrait de Marie-Adélaïde de France (1759-1802), princesse de Piémont, en buste ; Portrait de Charles-Félix de Savoie (1675-1821), duc de Genevois, en buste ; Portrait de la princesse Marie-Thérèse Jeanne d'Autriche-Este (1773-1832), duchesse d'Aoste, en buste",GIOVANNI PANEALBO,"EUR 12,600","EUR 20,000 - 30,000",N/A,"40 x 30,5 cm",Italy,1742-1815,Realism,Portrait
"La visite à Venise de Victor-Emmanuel II (1820-1878), roi d'Italie",ATTRIBUÉ À GIUSEPPE GAVAGNIN,"EUR 13,860","EUR 15,000 - 20,000",N/A,"52,5 x 79,5 cm",Italy,1846-1889,Realism,Unknown
La fête donnée place Saint-Marc à l'occasion de la visite de l'empereur François-Joseph Ier (1830-1916) à Venise en 1856,GIOVANNI GRUBACS,"EUR 75,600","EUR 8,000 - 12,000",N/A,"86 x 111,3 cm",Italy,1829-1919,Realism,Unknown
Cactus Selenicereus grandiflorus et speciosissimus du jardin botanique d'Oxford,JOHN BRIDGES,"EUR 47,880","EUR 8,000 - 12,000",N/A,"63,5 x 76,3 cm",United Kingdom,1818-1854,Realism,Still Life
Le roi Umberto Ier d'Italie (1844-1900) à cheval à Bordighera,FILIPPO PALIZZI,"EUR 27,720","EUR 4,000 - 6,000",N/A,92 x 132 cm,Italy,1818-1899,Realism,Unknown
"Portrait d'Umberto de Savoie (1904-1983), prince de Piémont et futur roi d'Italie, à mi-corps",PHILIP DE LÁSZLÓ,"EUR 69,300","EUR 10,000 - 15,000",N/A,99 x 74 cm,Hungary,1869-1937,Realism,Portrait
Portrait d'Alexandre Félix Legentil (1821-1889),JEAN-HIPPOLYTE FLANDRIN,"EUR 69,300","EUR 30,000 - 50,000",N/A,107 x 88 cm,France,1809-1864,Realism,Portrait
Portrait de Marie Legentil née Marcotte d'Argenteuil (1828-1920),JEAN-HIPPOLYTE FLANDRIN,"EUR 69,300","EUR 30,000 - 50,000",N/A,106 x 86 cm,France,1809-1864,Realism,Portrait
"Portrait d'un homme noir, en buste",ÉCOLE FRANÇAISE VERS 1840,"EUR 25,200","EUR 8,000 - 12,000",N/A,"40,5 x 32,5 cm",Unknown,N/A,Realism,Portrait
La Parisienne,PIERRE ARISTIDE ANDRÉ BROUILLET,"EUR 35,280","EUR 20,000 - 30,000",N/A,"116,3 x 89,5 cm",France,1857-1914,Realism,Portrait
Étude pour Au Bois - Au Pré Catelan,HENRY BOUVET,,"EUR 8,000 - 12,000",N/A,"130,5 x 97,5 cm",France,1859-1945,Realism,Unknown
Une tête de lion,ROSA BONHEUR,"EUR 107,100","EUR 18,000 - 25,000",N/A,46 x 38 cm,France,1822-1899,Realism,Animal Art
Gyzeh ; environs du Caire (Égypte),CHARLES-THÉODORE FRÈRE,"EUR 88,200","EUR 25,000 - 35,000",N/A,"70,2 x 110,5 cm",France,1814-1888,Realism,Landscape
Bateaux dans le port de Rotterdam,JOHAN BARTHOLD JONGKIND,"EUR 56,700","EUR 20,000 - 25,000",N/A,42 x 56 cm,Netherlands,1819-1891,Realism,Unknown
